team_name,Year,avg_diff_db
ARZ,2012,-1088447.2708333335
ARZ,2013,-1240944.2222222222
ARZ,2014,-1159133.5833333333
ARZ,2015,-2536375.0
ARZ,2016,1749030.2083333333
ARZ,2017,684113.6333333332
ARZ,2018,-383637.8844696969
ARZ,2019,6477481.333333333
ARZ,2020,1517324.3333333335
ARZ,2021,-60658.75
ATL,2012,-84859.39583333326
ATL,2013,-544237.1111111111
ATL,2014,-1955399.722222222
ATL,2015,-1569515.75
ATL,2016,-788488.0833333335
ATL,2017,2185541.6666666665
ATL,2018,1522184.3888888888
ATL,2019,2987839.25
ATL,2020,-1213597.166666667
ATL,2021,-5432398.111111111
BLT,2012,-1675059.027777778
BLT,2013,-247671.8333333335
BLT,2014,-306348.6666666667
BLT,2015,1322863.958333333
BLT,2016,1426320.5416666667
BLT,2017,672799.3541666667
BLT,2018,1157312.5
BLT,2019,4430080.18939394
BLT,2020,3099548.083333333
BLT,2021,3178300.9166666665
BUF,2012,-2235694.416666667
BUF,2013,-534694.6249999998
BUF,2014,1120958.1666666665
BUF,2015,130519.41666666651
BUF,2016,-2577565.958333333
BUF,2017,-3073928.7129629627
BUF,2018,-2240116.5222222223
BUF,2019,-1618771.916666667
BUF,2020,1776714.2083333328
BUF,2021,488712.6416666668
CAR,2012,-954350.1944444446
CAR,2013,-2259815.7916666665
CAR,2014,-1882009.0555555557
CAR,2015,-2745070.871527778
CAR,2016,-2272426.9166666665
CAR,2017,-982738.3333333334
CAR,2018,-1787433.722222222
CAR,2019,-1954703.0555555557
CAR,2020,712092.458333333
CAR,2021,-4345152.75
CHI,2012,-1037304.7896825395
CHI,2013,-675120.5
CHI,2014,-605861.1250000002
CHI,2015,-2788113.0833333335
CHI,2016,-144423.5833333335
CHI,2017,-4274167.888888889
CHI,2018,-995052.2916666667
CHI,2019,1298200.1458333333
CHI,2020,1678586.5
CHI,2021,2996923.625
CIN,2012,894851.5625
CIN,2013,-140450.6944444445
CIN,2014,1869597.8333333333
CIN,2015,-1091291.833333333
CIN,2016,-1215572.916666667
CIN,2017,2696275.458333333
CIN,2018,1160413.2083333335
CIN,2019,-900098.0833333334
CIN,2020,-2899652.75
CIN,2021,-1993143.9166666667
CLV,2012,-948213.5416666665
CLV,2014,314402.5833333335
CLV,2015,645858.277777778
CLV,2016,2755097.2222222215
CLV,2017,-1686096.083333333
CLV,2018,2330083.333333333
CLV,2019,-1741713.791666667
CLV,2020,-1911719.75
CLV,2021,4861252.0
DAL,2012,3407878.625
DAL,2013,1430981.4999999998
DAL,2014,1258902.7777777778
DAL,2015,1716530.5416666667
DAL,2016,617755.083333333
DAL,2017,-2298600.7083333335
DAL,2018,-4367062.5
DAL,2019,-4677268.666666667
DAL,2020,603325.416666667
DAL,2021,-3830085.333333333
DEN,2012,110084.47222222218
DEN,2013,-1387506.9166666667
DEN,2014,357583.3333333333
DEN,2015,1235216.9791666665
DEN,2016,1327508.6875
DEN,2017,2968034.7222222225
DEN,2018,837488.9444444445
DEN,2019,3417457.291666667
DEN,2020,701818.8131313132
DEN,2021,4047977.104166666
DET,2012,-2060859.6111111112
DET,2013,53593.20833333314
DET,2014,-2442643.625
DET,2015,-637625.0
DET,2016,-1603171.1249999998
DET,2017,1123828.6944444445
DET,2018,1263178.8333333333
DET,2019,798140.3125
DET,2020,-3826060.6111111105
DET,2021,-4560152.75
GB,2012,3791569.416666667
GB,2013,2018338.6944444443
GB,2014,3584836.8333333335
GB,2015,2612367.958333333
GB,2016,535152.75
GB,2017,-1296458.3333333335
GB,2018,2514193.1666666665
GB,2019,620857.083333333
GB,2020,864833.333333333
GB,2021,-3208935.1388888885
HST,2012,2698891.375
HST,2013,1545061.041666667
HST,2014,1450006.9166666667
HST,2015,624713.3333333335
HST,2016,-750998.3125
HST,2017,-1041753.9722222224
HST,2018,-1466469.0625
HST,2019,2666675.75
HST,2020,821830.222222222
HST,2021,-2388210.395833333
IND,2012,1080854.1666666665
IND,2013,914898.2291666667
IND,2014,1580.950000000093
IND,2015,-326875.7833333334
IND,2016,-1606069.479166667
IND,2017,-2714012.75
IND,2018,-7001041.666666666
IND,2019,314930.583333333
IND,2020,-7004875.0
IND,2021,-3569416.6666666665
JAX,2012,-99669.1944444445
JAX,2013,-3137430.5
JAX,2014,-2598263.9166666665
JAX,2015,602356.7916666665
JAX,2016,1383222.2500000002
JAX,2017,1682240.3055555557
JAX,2018,1137568.2083333333
JAX,2019,766767.8055555554
JAX,2020,-4754520.666666667
JAX,2021,3893562.375
KC,2012,-1641686.897727273
KC,2013,3644287.5
KC,2014,-2319130.25
KC,2015,-936830.5
KC,2016,1545013.875
KC,2017,186180.5416666665
KC,2018,-2765064.833333333
KC,2019,89457.55555555566
KC,2020,-112893.50000000047
KC,2021,253338.638888889
LA,2012,1208828.6722222222
LA,2013,-1173018.75
LA,2015,-2393930.583333333
LA,2016,7270895.833333333
LA,2017,1204429.1944444447
LA,2018,-417826.375
LA,2019,-3157421.6111111105
LA,2020,-1013864.083333333
LA,2021,4086193.476190476
LAC,2012,-162907.05555555565
LAC,2013,-2088568.0833333333
LAC,2014,-1318091.268518519
LAC,2015,1581327.4444444443
LAC,2016,-2944500.0
LAC,2017,-2879222.2083333335
LAC,2018,-1495215.9166666667
LAC,2019,-4499869.333333333
LAC,2020,-1524895.791666667
LAC,2021,531078.6111111114
LV,2012,-503747.8749999999
LV,2013,-2091620.8333333333
LV,2014,-756374.8055555555
LV,2015,-3065147.8035714286
LV,2016,1420892.25
LV,2017,1673245.3333333335
LV,2018,-2005095.3333333333
LV,2019,-3322258.2916666665
LV,2020,-3568979.791666667
LV,2021,-3449541.666666667
MIA,2012,-3117936.6666666665
MIA,2013,-208337.15476190473
MIA,2014,781030.5333333333
MIA,2015,-248187.6875
MIA,2016,-501020.8333333333
MIA,2017,2867513.25
MIA,2018,1433343.361111111
MIA,2019,-2236950.333333333
MIA,2020,3189255.6488095243
MIA,2021,1744903.2083333337
MIN,2012,1300972.25
MIN,2013,-1932177.0833333335
MIN,2014,-619312.5
MIN,2015,-2103098.472222222
MIN,2016,-339938.4791666665
MIN,2017,864440.6458333335
MIN,2018,1545918.7916666667
MIN,2019,2499864.4166666665
MIN,2020,1097263.875
MIN,2021,-428376.5833333335
NE,2012,-2555236.125
NE,2013,504201.6111111112
NE,2014,1449302.25
NE,2015,-1455368.1666666667
NE,2016,-1053319.611111111
NE,2017,-221966.7166666668
NE,2018,-171780.96190476193
NE,2019,1605497.979166667
NE,2020,-1089221.875
NE,2021,-3094722.883333334
NO,2012,229842.26190476213
NO,2013,-936736.125
NO,2014,227688.9166666665
NO,2015,-461627.08333333326
NO,2016,-2319142.4444444445
NO,2020,-290625.0
NO,2021,3233847.484848485
NYG,2012,1524297.1296296294
NYG,2013,-1087003.9722222222
NYG,2014,683031.1666666665
NYG,2015,-1599666.6666666667
NYG,2016,205333.33333333302
NYG,2017,-3329049.25
NYG,2018,-4655944.111111111
NYG,2019,-4354064.583333333
NYG,2020,3813041.5
NYG,2021,5526321.194444444
NYJ,2012,-345155.92613636353
NYJ,2013,961741.625
NYJ,2014,-2971714.25
NYJ,2015,4227861.041666667
NYJ,2016,3661656.1388888885
NYJ,2017,-1825259.4444444443
NYJ,2018,1461423.9791666667
NYJ,2019,-3643634.25
NYJ,2020,-6019875.0
PHI,2012,8032255.0
PHI,2013,716271.5277777776
PHI,2014,602102.1875
PHI,2015,-277608.29999999993
PHI,2016,-193540.875
PHI,2017,-602491.1616161618
PHI,2018,-118611.74999999977
PHI,2019,730666.708333333
PHI,2020,903610.1874999999
PHI,2021,-400742.27666666673
PIT,2012,33909.791666666744
PIT,2013,401216.7499999999
PIT,2014,78766.2166666666
PIT,2015,-2089113.6944444443
PIT,2016,-3765060.25
PIT,2017,574552.5833333335
PIT,2018,170065.33333333326
PIT,2019,-86765.47222222232
PIT,2020,1508013.9166666665
PIT,2021,-1842986.083333333
SEA,2012,-3046664.9583333335
SEA,2013,-752769.125
SEA,2014,4524028.388888889
SEA,2015,4721325.622222222
SEA,2016,3943583.75
SEA,2017,1757770.8333333337
SEA,2018,-2799170.472222222
SEA,2019,-1600178.1944444443
SEA,2020,-3083211.708333333
SEA,2021,2779382.9583333335
SF,2012,1100354.0555555557
SF,2013,-1085273.8333333333
SF,2014,-2216246.541666667
SF,2015,-647226.0
SF,2016,-766093.75
SF,2017,-3422312.5
SF,2018,1479637.3333333333
SF,2019,-1923278.1964285711
SF,2020,-4608520.833333334
SF,2021,-3069154.0333333337
TB,2012,-851388.8333333335
TB,2013,6569967.9
TB,2014,432111.0833333333
TB,2015,-823794.916666667
TB,2016,-2570486.1111111115
TB,2017,-1626398.1666666665
TB,2018,2522041.666666667
TB,2019,-5489166.666666667
TEN,2012,743801.6388888889
TEN,2013,2109618.666666666
TEN,2014,1825805.0
TEN,2015,2022264.9444444447
TEN,2016,-879661.0555555554
TEN,2017,4682620.333333333
TEN,2018,2381756.9444444445
TEN,2019,1265116.0625
TEN,2020,2321969.9166666665
TEN,2021,1184111.166666666
WAS,2012,816308.2291666666
WAS,2013,-1306163.2708333335
WAS,2014,-2499727.7777777775
WAS,2015,93333.33333333333
WAS,2016,-1012522.5624999997
WAS,2017,2987708.3333333335
WAS,2018,8897912.0
WAS,2019,2969088.2592592593
WAS,2020,-960226.208333333
WAS,2021,2366494.756944444
