team_name,Year,avg_diff_dl
ARZ,2012,831171.222222222
ARZ,2013,1421942.8541666665
ARZ,2014,-635351.398148148
ARZ,2015,-392644.9722222222
ARZ,2016,-3310811.979166667
ARZ,2017,-280413.45833333326
ARZ,2018,880370.3888888886
ARZ,2019,-2815236.1
ARZ,2020,-5771597.25
ARZ,2021,-1418773.138888889
ATL,2012,-1926585.1611111113
ATL,2013,-1252345.4166666665
ATL,2014,174754.1875
ATL,2015,-829275.3125
ATL,2016,-360462.9444444445
ATL,2017,-2339230.2222222225
ATL,2018,-1522128.5416666665
ATL,2019,-1648950.6296296297
ATL,2020,1328369.45
ATL,2021,2882916.666666666
BLT,2012,1179126.9583333335
BLT,2013,1106932.083333333
BLT,2014,-545788.8560606061
BLT,2015,-4427211.666666667
BLT,2016,-2537270.0
BLT,2017,-1183287.875
BLT,2018,-1599722.2083333335
BLT,2019,278020.833333333
BLT,2020,1612411.3
BLT,2021,286163.94444444467
BUF,2012,2745392.22979798
BUF,2013,1334482.3749999993
BUF,2014,2859350.083333334
BUF,2015,3182954.633333334
BUF,2016,479707.30000000016
BUF,2017,1471933.5
BUF,2018,377625.0
BUF,2019,1218007.9375
BUF,2020,1167254.4166666667
BUF,2021,4536250.0
CAR,2012,2132136.6666666665
CAR,2013,45291.94444444465
CAR,2014,-621705.0833333331
CAR,2015,897647.5666666668
CAR,2016,-6415898.027777777
CAR,2017,-566030.5416666665
CAR,2018,-868156.8666666666
CAR,2019,-1460266.8541666665
CAR,2020,-5071083.333333334
CAR,2021,-2754444.4444444445
CHI,2012,1656829.666666667
CHI,2013,2538860.5833333335
CHI,2014,-2132431.4444444445
CHI,2015,-2422932.9791666665
CHI,2016,-2262714.8333333335
CHI,2017,-584517.0833333335
CHI,2018,1882672.4166666667
CHI,2019,-43425.91666666698
CHI,2020,-1768190.032738095
CHI,2021,-166961.05555555597
CIN,2013,3070811.840909091
CIN,2014,454929.875
CIN,2015,-545008.2833333333
CIN,2016,-43612.7833333334
CIN,2017,-1872409.638888889
CIN,2018,2115131.0555555555
CIN,2019,-1730143.0984848489
CIN,2020,-5074097.222222223
CIN,2021,2382869.479166667
CLV,2012,-789418.8611111111
CLV,2013,605151.7916666665
CLV,2014,2845367.3611111115
CLV,2015,2923611.083333333
CLV,2016,-3657865.75
CLV,2019,4669027.625
CLV,2020,4531492.194444444
CLV,2021,-899721.2351190478
DAL,2012,887756.955357143
DAL,2013,-171819.52083333326
DAL,2014,-4036112.708333334
DAL,2015,463896.2083333335
DAL,2016,-1128788.8333333333
DAL,2017,-1217456.416666667
DAL,2018,992759.666666667
DAL,2019,2354045.1458333335
DAL,2020,-1120819.458333333
DAL,2021,-2388020.8333333335
DEN,2012,-675138.75
DEN,2013,-3803401.5555555555
DEN,2014,-275623.5277777777
DEN,2015,-2200780.4166666665
DEN,2016,2633140.885416667
DEN,2017,-5304313.261904762
DEN,2018,1319799.0555555557
DEN,2019,-288177.02083333326
DEN,2020,-8895956.416666666
DEN,2021,-635826.8888888886
DET,2012,816286.2777777779
DET,2013,-3878826.416666667
DET,2014,-2695984.9166666665
DET,2015,-2843951.958333333
DET,2016,207638.91666666698
DET,2017,-827430.5416666667
DET,2018,-3228417.2916666665
DET,2019,539333.8333333333
DET,2020,-1999898.1388888888
DET,2021,-3404044.3888888885
GB,2012,-1252822.9166666667
GB,2013,5136345.208333333
GB,2014,2278300.722222222
GB,2015,151023.2537878789
GB,2016,1364361.9375
GB,2017,2239468.3333333335
GB,2018,-4443001.166666667
GB,2019,3409134.905555556
GB,2020,2373634.85
GB,2021,-191822.91666666674
HST,2012,-2381045.9166666665
HST,2013,-186319.83333333326
HST,2014,1508491.8333333337
HST,2015,264562.038690476
HST,2016,-1361603.5
HST,2017,-3052986.0833333335
HST,2018,425841.138888889
HST,2019,-226741.04166666663
HST,2020,821527.75
HST,2021,-2221388.875
IND,2012,2176718.8888888885
IND,2013,332113.3999999999
IND,2014,25115.694444444496
IND,2015,237344.3055555555
IND,2016,1831858.3333333333
IND,2017,-3692358.7
IND,2018,-855418.3958333333
IND,2019,-1629082.777777778
IND,2020,2166814.722222222
IND,2021,-2989375.0
JAX,2012,-2135224.9166666665
JAX,2013,-958977.6111111114
JAX,2014,-966612.5208333334
JAX,2015,472733.5000000002
JAX,2016,-231677.16666666663
JAX,2017,2711342.458333333
JAX,2018,3186620.8901515147
JAX,2019,-794422.6458333335
JAX,2020,-5670458.333333333
JAX,2021,-4154322.1666666665
KC,2012,2793754.9722222225
KC,2013,4572861.013888889
KC,2014,3037739.5
KC,2015,1818353.527777778
KC,2016,1048480.8333333331
KC,2017,-328584.7166666667
KC,2018,-2996130.85
KC,2019,6022916.666666668
KC,2020,3151652.7638888885
KC,2021,2830334.4583333335
LA,2012,1621631.9722222222
LA,2013,1720579.1666666667
LA,2014,1328511.5
LA,2015,-2991825.8888888895
LA,2016,80115.0
LA,2017,1908660.770833333
LA,2018,5865875.611111111
LA,2019,4780199.722222223
LA,2020,1191055.694444445
LA,2021,265702.3229166665
LAC,2012,53889.04166666698
LAC,2013,-208889.08333333302
LAC,2014,-1894976.75
LAC,2015,564615.083333333
LAC,2016,1244319.416666667
LAC,2017,522143.5
LAC,2018,1004884.25
LAC,2019,-73842.58333333333
LAC,2020,1260234.7129629625
LAC,2021,1783050.0732323232
LV,2012,-335892.95833333326
LV,2013,-1956508.0555555557
LV,2014,-195637.22222222216
LV,2015,-1225847.25
LV,2016,-2444717.5
LV,2017,-1070125.0
LV,2018,-3747777.75
LV,2019,-3389583.333333333
LV,2020,-1164921.1944444447
LV,2021,-1438467.3124999998
MIA,2012,348837.2222222222
MIA,2013,1110638.8333333333
MIA,2014,-21022.638888888992
MIA,2015,2952734.8333333335
MIA,2016,2575233.583333333
MIA,2017,4040664.5277777775
MIA,2018,-3611161.3333333335
MIA,2019,-5105277.75
MIA,2020,-1379165.1111111112
MIA,2021,-8852267.375
MIN,2012,-888540.0234848484
MIN,2013,1149142.1666666667
MIN,2014,1220506.8333333333
MIN,2015,513958.96527777764
MIN,2016,479543.972222222
MIN,2017,920755.4583333331
MIN,2018,5979569.555555555
MIN,2019,4013556.2222222225
MIN,2020,-3881583.3333333335
MIN,2021,-1304236.0833333335
NE,2012,-358959.8888888887
NE,2013,-1671392.2222222222
NE,2014,2228819.5833333335
NE,2015,-2329703.861111111
NE,2016,-3449237.1944444445
NE,2017,-1249057.9166666665
NE,2018,-8671019.833333334
NE,2019,-4015347.1944444454
NE,2020,-4052186.805555556
NE,2021,1538020.8541666665
NO,2012,173302.08333333334
NO,2013,-4227659.791666666
NO,2014,1546795.125
NO,2015,-116801.00000000023
NO,2016,-17008.481481481653
NO,2017,-5740932.0625
NO,2018,-1916509.833333333
NO,2019,468194.458333333
NO,2020,-2333706.287878788
NO,2021,-3953995.2777777775
NYG,2012,-1587362.527777778
NYG,2013,-535692.8541666666
NYG,2014,-993608.4444444444
NYG,2015,3949154.791666667
NYG,2016,3163757.0388888884
NYG,2017,4194625.016666667
NYG,2018,124071.77777777768
NYG,2019,-1276345.25
NYG,2020,382194.458333333
NYG,2021,4916180.541666667
NYJ,2012,-2752217.611111111
NYJ,2013,-4224444.5
NYJ,2014,-1984654.833333333
NYJ,2015,-4165467.583333333
NYJ,2016,6000319.458333333
NYJ,2017,12274.416666666666
NYJ,2018,-5547807.138888888
NYJ,2019,-11081250.0
NYJ,2020,-1585062.2500000005
NYJ,2021,1124673.361111111
PHI,2012,1164510.25
PHI,2013,3871631.8333333335
PHI,2014,2068140.5000000007
PHI,2015,-1186329.1944444443
PHI,2016,1822900.2777777778
PHI,2017,2129102.3125
PHI,2018,-4377313.79047619
PHI,2019,-2719270.9166666665
PHI,2020,3952455.833333333
PHI,2021,4705069.333333333
PIT,2012,1917307.9444444447
PIT,2014,-951893.2333333334
PIT,2015,-1869153.25
PIT,2016,-8055119.818181818
PIT,2017,682129.375
PIT,2018,-1844908.416666666
PIT,2019,-6374434.3809523815
PIT,2020,-1467663.1749999998
PIT,2021,-1483333.820833333
SEA,2012,-174310.87666666656
SEA,2013,-1772206.9833333336
SEA,2014,-624092.0999999999
SEA,2015,-817388.4166666665
SEA,2016,1824965.25
SEA,2017,6414930.916666666
SEA,2018,-2983611.1111111105
SEA,2019,-2216620.361111111
SEA,2020,2861004.6388888885
SEA,2021,-4356071.479166667
SF,2012,772585.5625
SF,2013,-49728.604166666744
SF,2014,-1007796.125
SF,2015,2026166.5
SF,2016,534541.6666666667
SF,2017,-765310.333333333
SF,2018,-1462361.083333333
SF,2020,-451671.7083333335
SF,2021,-1604189.8055555553
TB,2012,-3884312.5833333335
TB,2013,-2243666.6666666665
TB,2014,1584762.833333333
TB,2015,2658444.472222222
TB,2016,2237832.9166666665
TB,2017,78098.13333333321
TB,2018,5118422.111111111
TB,2019,-516388.888888889
TB,2020,1085498.066666667
TB,2021,4671545.6
TEN,2012,-11041.875
TEN,2013,-2999499.833333333
TEN,2014,-1792603.2708333333
TEN,2015,1791622.638888889
TEN,2016,-116809.39583333349
TEN,2017,-685015.4833333336
TEN,2018,2232851.6875
TEN,2019,3205000.0416666665
TEN,2020,-1458771.888888889
TEN,2021,-1932430.25
WAS,2012,-1340412.9722222222
WAS,2013,-60341.38888888884
WAS,2014,1598902.6666666665
WAS,2015,100592.54166666674
WAS,2016,-1071307.1666666665
WAS,2017,-229145.8333333335
WAS,2018,2167928.916666666
WAS,2019,2861319.458333333
WAS,2021,1290649.2916666665
