team_name,Year,avg_diff_te
ARZ,2012,-1600055.5
ARZ,2014,-905555.5
ARZ,2015,-2324305.5833333335
ARZ,2016,-2026388.8333333333
ARZ,2017,1434166.666666667
ARZ,2018,1530266.666666667
ARZ,2019,-1616450.5833333333
ARZ,2020,-2140417.25
ARZ,2021,-204166.66666666674
ATL,2012,-300000.0
ATL,2013,2005833.333333333
ATL,2014,-3571666.666666667
ATL,2015,-1393333.3333333335
ATL,2017,-1266666.666666667
ATL,2018,-1615277.8333333335
ATL,2019,760000.0
ATL,2020,-617247.0833333333
ATL,2021,-2384166.666666667
BLT,2012,-1759610.8333333335
BLT,2013,-926916.6666666667
BLT,2014,-3520833.333333333
BLT,2016,3571944.5
BLT,2017,-10277.833333333489
BLT,2019,-1126164.3333333335
BLT,2020,563888.833333333
BLT,2021,-2159291.6666666665
BUF,2012,-1504888.833333333
BUF,2013,-958000.0
BUF,2014,-408333.3333333335
BUF,2015,3537500.0
BUF,2016,3298333.333333333
BUF,2017,4130833.3333333335
BUF,2018,5513888.833333333
BUF,2019,184166.6666666665
BUF,2020,-2786111.166666667
CAR,2012,-1907249.9999999998
CAR,2013,-465250.0
CAR,2014,-1207916.666666667
CAR,2015,1553472.0833333335
CAR,2016,-192644.58333333326
CAR,2017,-1380555.8333333335
CAR,2018,-2155277.8333333335
CAR,2019,2152916.6666666665
CAR,2020,-1345084.5
CHI,2012,-361472.08333333326
CHI,2013,740833.3333333333
CHI,2014,-564416.6666666667
CHI,2015,-1781138.9166666665
CHI,2016,-926000.0000000001
CHI,2017,2407500.0
CHI,2018,1375550.0
CHI,2019,-2345833.3333333335
CHI,2020,3475416.666666667
CHI,2021,-1914166.6666666665
CIN,2014,-2348611.0
CIN,2018,-2608333.3333333335
CIN,2019,1161383.3333333335
CIN,2020,-990833.3333333335
CIN,2021,604333.333333333
CLV,2012,-1188249.9166666665
CLV,2013,-1257500.0
CLV,2014,-1215833.3333333335
CLV,2015,-735000.0
CLV,2016,492500.0
CLV,2018,1049166.6666666665
CLV,2019,-960566.6666666665
CLV,2020,3773833.333333333
CLV,2021,5816416.666666667
DAL,2012,869166.666666667
DAL,2013,2566666.666666667
DAL,2014,2952500.0
DAL,2015,4392777.833333334
DAL,2017,1102916.6666666667
DAL,2019,-369444.5
DAL,2020,-2116250.0
DAL,2021,-2427333.3333333335
DEN,2012,-1180361.4166666667
DEN,2015,-406944.5833333335
DEN,2016,-1132222.1666666665
DEN,2017,-1252777.6666666665
DEN,2018,-1659444.5
DEN,2019,855555.5
DEN,2020,-1182583.3333333335
DET,2014,245277.8333333335
DET,2015,1276944.5
DET,2016,-2858333.3333333335
DET,2017,-3825000.0
DET,2018,-1466388.9166666665
DET,2019,3567288.166666667
DET,2020,2481666.6666666665
GB,2012,696926.75
GB,2014,-1325000.0
GB,2015,-1383888.8333333335
GB,2016,-2468750.0
GB,2017,-2905844.333333333
GB,2018,2202638.833333334
GB,2019,960360.5
GB,2020,-2954166.666666667
GB,2021,-6023333.333333334
HST,2012,2300500.0
HST,2014,1301944.5
HST,2017,885277.8333333335
HST,2018,-920277.8333333335
HST,2019,-1787526.0
HST,2020,-5344680.583333334
HST,2021,-2137936.333333333
IND,2016,134097.25
IND,2017,18333.333333333256
IND,2018,-1068750.0
IND,2019,-1089583.3333333335
IND,2020,2063888.833333333
IND,2021,365625.00000000023
JAX,2012,1673348.375
JAX,2013,34750.0
JAX,2014,2231388.9166666665
JAX,2015,-96666.66666666663
JAX,2016,-473888.833333333
JAX,2017,-841666.666666667
JAX,2018,-1776111.1666666665
JAX,2019,-2896878.5
JAX,2020,-950458.9166666665
JAX,2021,177500.0
KC,2013,-491854.1666666665
KC,2014,1182500.0
KC,2016,-181866.66666666674
KC,2017,-311644.41666666674
KC,2018,1516827.7499999998
KC,2019,195960.75
KC,2020,-666783.333333333
KC,2021,-244791.6666666665
LA,2012,-2043555.6666666665
LA,2013,3420833.3333333335
LA,2014,3004166.6666666665
LA,2015,2895694.5
LA,2016,884722.3333333335
LA,2017,-3465277.833333333
LA,2019,-772800.0
LA,2020,682166.666666667
LA,2021,1428625.0
LAC,2012,720000.0
LAC,2013,3230541.6666666665
LAC,2014,1089722.0833333335
LAC,2015,-668055.5
LAC,2016,-482777.8333333334
LAC,2017,-3094166.6666666665
LAC,2018,-183610.8333333335
LAC,2019,-1402777.5
LAC,2020,343194.5833333335
LAC,2021,-2969166.6666666665
LV,2012,-1360029.6
LV,2013,-793000.0
LV,2015,-451110.8333333335
LV,2017,-665694.4166666667
LV,2018,-779383.3333333335
LV,2019,436320.0
LV,2020,-359895.83333333326
LV,2021,2940833.333333333
MIA,2012,-253889.1666666665
MIA,2015,4695833.333333334
MIA,2016,-2968333.3333333335
MIA,2017,-44027.75
MIA,2018,-1841111.1666666665
MIA,2020,-2907916.666666667
MIN,2012,3342242.333333333
MIN,2013,1070000.0
MIN,2014,4329166.666666666
MIN,2015,2543055.5
MIN,2016,98458.33333333326
MIN,2017,2858333.333333333
MIN,2018,3886666.6666666665
MIN,2019,3058333.333333333
MIN,2020,4417083.333333333
MIN,2021,-3325416.666666667
NE,2013,-1706840.25
NE,2014,-1113055.5
NE,2015,-2733888.8333333335
NE,2016,781916.666666667
NE,2017,3790833.3333333335
NE,2018,3547222.1666666665
NE,2019,-676184.0833333333
NE,2021,6691230.333333334
NO,2013,-721666.6666666665
NO,2014,3351249.9999999995
NO,2015,-1295416.6666666665
NO,2016,-115833.16666666663
NO,2017,-1310694.4166666667
NO,2018,-2260972.083333333
NO,2019,-341867.25
NO,2020,-587083.3333333335
NO,2021,-763789.3333333333
NYG,2012,-1753055.5
NYG,2013,-1593062.5
NYG,2014,-2457500.0
NYG,2015,-2153333.3333333335
NYG,2016,-1308472.25
NYG,2017,-412916.666666667
NYG,2018,-128055.58333333349
NYG,2019,2442500.0
NYG,2021,915000.0
NYJ,2012,-2127222.5
NYJ,2013,-3395833.333333333
NYJ,2014,468611.16666666674
NYJ,2015,-732361.0833333334
NYJ,2016,-454027.83333333326
NYJ,2018,-3808333.333333333
NYJ,2019,1034166.6666666665
NYJ,2020,-422166.6666666665
NYJ,2021,-1090338.0
PHI,2012,1531889.0
PHI,2013,810000.0
PHI,2014,69166.66666666698
PHI,2016,2064222.083333333
PHI,2017,835373.5
PHI,2018,2905266.666666667
PHI,2019,2523498.833333333
PHI,2020,4631250.0
PHI,2021,-140625.0
PIT,2012,-68750.0
PIT,2013,1152076.4166666667
PIT,2014,-1419166.6666666667
PIT,2015,-24722.25
PIT,2016,-3022500.0
PIT,2017,500683.333333333
PIT,2018,2404166.6666666665
PIT,2020,2188083.3333333335
SEA,2012,433000.0
SEA,2013,-2962500.0
SEA,2014,-3042500.0
SEA,2015,5581666.666666667
SEA,2016,945400.0
SEA,2017,1112499.9999999998
SEA,2018,79722.5
SEA,2019,-1382500.0
SEA,2020,1612248.8333333333
SEA,2021,525833.333333333
SF,2012,2130277.833333333
SF,2013,4235333.333333334
SF,2014,4599444.5
SF,2015,-2094166.6666666665
SF,2016,2103750.0
SF,2017,-984166.6666666665
SF,2018,-208611.1666666665
SF,2020,2187083.3
SF,2021,1887500.0
TB,2012,-1191722.1666666665
TB,2013,-569166.6666666667
TB,2014,-1029722.1666666665
TB,2015,-1007361.0833333335
TB,2017,-2908750.0
TB,2020,-167833.33333333302
TB,2021,-3170416.666666666
TEN,2012,849944.5
TEN,2013,228020.8333333335
TEN,2014,-867083.3333333335
TEN,2015,-1866388.9166666667
TEN,2016,1375.0000000002328
TEN,2017,-433680.0
TEN,2018,-4353680.0
TEN,2019,-2454166.6666666665
TEN,2020,-1549834.5
TEN,2021,-1956478.0
WAS,2012,2612555.5
WAS,2013,-1469722.5
WAS,2014,-1329722.5
WAS,2015,-2202222.1666666665
WAS,2016,-264548.3333333335
WAS,2017,-433061.0833333335
WAS,2018,963055.5
WAS,2020,-1335416.666666667
WAS,2021,-3240833.333333333
