,team_name,year,avg_diff,win_percentage
0,ARZ,2012,0.31380033889567116,0.312
1,ARZ,2013,,0.625
2,ARZ,2014,-0.15937072198292954,0.688
3,ARZ,2015,-0.3726926858541579,0.812
4,ARZ,2016,-0.41325297873988576,0.438
5,ARZ,2017,-0.13227199357526023,0.5
6,ARZ,2019,0.7464143296687776,0.312
7,ARZ,2020,0.34422018545160354,0.5
8,ARZ,2021,0.5282848796152025,0.647
9,ATL,2012,-0.05757561916840483,0.812
10,ATL,2013,,0.25
11,ATL,2014,,0.375
12,ATL,2015,,0.5
13,ATL,2016,,0.688
14,ATL,2017,,0.625
15,ATL,2018,,0.438
16,ATL,2019,0.9438568925595272,0.438
17,ATL,2020,0.8429431987686438,0.25
18,ATL,2021,-0.2722028014261194,0.412
19,BLT,2012,-0.00852814512209181,0.625
20,BLT,2013,0.13917207719077793,0.5
21,BLT,2014,-0.42399858643905913,0.625
22,BLT,2015,,0.312
23,BLT,2016,,0.5
24,BLT,2017,,0.562
25,BLT,2018,,0.625
26,BLT,2019,-0.3401358368579618,0.875
27,BLT,2021,-0.4502799364991707,0.471
28,BUF,2012,-0.20283141132020588,0.375
29,BUF,2014,0.3803351069844757,0.562
30,BUF,2015,0.20908087453940793,0.5
31,BUF,2017,-0.300726801721307,0.562
32,BUF,2019,,0.625
33,BUF,2020,,0.812
34,BUF,2021,,0.647
35,CAR,2012,0.30247111679009586,0.438
36,CAR,2013,-0.26185611213018656,0.75
37,CAR,2014,-0.18168966642739978,0.438
38,CAR,2015,-0.16843874970833028,0.938
39,CAR,2016,-0.6122417068581345,0.375
40,CAR,2017,-0.16782208929420714,0.688
41,CAR,2018,-0.5989671651241515,0.438
42,CAR,2019,,0.312
43,CAR,2020,-0.47100566034407754,0.312
44,CAR,2021,,0.294
45,CHI,2012,0.13266111690218194,0.625
46,CHI,2013,0.12554002894989447,0.5
47,CHI,2014,-0.06822876121335021,0.312
48,CHI,2015,,0.375
49,CHI,2016,,0.188
50,CHI,2017,,0.312
51,CHI,2018,,0.75
52,CHI,2019,,0.5
53,CHI,2020,-0.05769903619652614,0.5
54,CHI,2021,,0.353
55,CIN,2012,,0.625
56,CIN,2013,,0.688
57,CIN,2014,,0.625
58,CIN,2015,,0.75
59,CIN,2016,,0.375
60,CIN,2017,,0.438
61,CIN,2018,,0.375
62,CIN,2019,,0.125
63,CIN,2020,-0.564570483445774,0.25
64,CIN,2021,-0.2272935537589005,0.588
65,CLV,2013,,0.25
66,CLV,2014,,0.438
67,CLV,2015,,0.188
68,CLV,2016,,0.062
69,CLV,2018,,0.438
70,CLV,2019,,0.375
71,CLV,2020,-0.12161653413328288,0.688
72,CLV,2021,0.8437596161311752,0.471
73,DAL,2012,,0.5
74,DAL,2013,,0.5
75,DAL,2015,0.3944219670205318,0.25
76,DAL,2016,,0.812
77,DAL,2017,-0.17845695576331846,0.562
78,DAL,2018,,0.625
79,DAL,2019,0.27702000426182305,0.5
80,DAL,2020,0.5214700141011112,0.375
81,DAL,2021,,0.706
82,DEN,2012,-0.4755084176590949,0.812
83,DEN,2013,,0.812
84,DEN,2014,,0.75
85,DEN,2015,,0.75
86,DEN,2016,0.49032231207629073,0.562
87,DEN,2017,-0.15505290974660096,0.312
88,DEN,2018,,0.375
89,DEN,2019,,0.438
90,DEN,2020,-0.871925115474328,0.312
91,DEN,2021,,0.412
92,DET,2012,,0.25
93,DET,2013,,0.438
94,DET,2014,-0.3519200692789798,0.688
95,DET,2015,,0.438
96,DET,2016,-0.42690197209152164,0.562
97,DET,2017,-0.3800417714333015,0.562
98,DET,2018,-0.694245400672804,0.375
99,DET,2019,,0.188
100,DET,2020,-0.6538152261904313,0.312
101,DET,2021,,0.176
102,GB,2012,0.44683009303058335,0.688
103,GB,2013,,0.5
104,GB,2014,0.4785938133944845,0.75
105,GB,2015,,0.625
106,GB,2016,,0.625
107,GB,2017,,0.438
108,GB,2018,,0.375
109,GB,2019,,0.812
110,GB,2020,,0.812
111,GB,2021,-0.6273863635324187,0.765
112,HST,2012,0.27199798274017173,0.75
113,HST,2013,,0.125
114,HST,2014,0.6056789715548214,0.562
115,HST,2015,,0.562
116,HST,2017,-0.017756196433260818,0.25
117,HST,2018,0.06442347957429982,0.688
118,HST,2019,0.3322916628598588,0.625
119,HST,2020,0.7998857691698501,0.25
120,HST,2021,-0.7669083202500417,0.235
121,IND,2012,,0.688
122,IND,2013,,0.688
123,IND,2014,,0.688
124,IND,2015,,0.5
125,IND,2016,0.1361778202634504,0.5
126,IND,2017,-0.5158814697822631,0.25
127,IND,2018,,0.625
128,IND,2019,,0.438
129,IND,2020,,0.688
130,IND,2021,0.6601411532473687,0.529
131,JAX,2012,-0.06680801923574115,0.125
132,JAX,2015,,0.312
133,JAX,2016,0.16195264164344292,0.188
134,JAX,2017,0.24747843059000332,0.625
135,JAX,2018,0.7930652177252753,0.312
136,JAX,2019,,0.375
137,JAX,2020,-0.7551933964802708,0.062
138,JAX,2021,0.23755701275872515,0.176
139,KC,2012,,0.125
140,KC,2013,,0.688
141,KC,2014,0.14519796044119915,0.562
142,KC,2015,,0.688
143,KC,2016,0.690522504910511,0.75
144,KC,2017,0.0012459826691395047,0.625
145,KC,2018,0.20912408061560142,0.75
146,KC,2019,0.7899470491440448,0.75
147,KC,2020,-0.43228602187280807,0.875
148,KC,2021,-0.2747256458689302,0.706
149,LA,2012,-0.12441141374731068,0.438
150,LA,2014,,0.375
151,LA,2015,,0.438
152,LA,2016,0.8609956639531138,0.25
153,LA,2017,,0.688
154,LA,2018,,0.812
155,LA,2019,-0.036812059547620846,0.562
156,LA,2020,,0.625
157,LA,2021,,0.706
158,LAC,2012,,0.438
159,LAC,2013,-0.09623294760093591,0.562
160,LAC,2014,-0.38669970476065885,0.562
161,LAC,2015,-0.22288868936608924,0.25
162,LAC,2016,,0.312
163,LAC,2017,,0.562
164,LAC,2018,,0.75
165,LAC,2019,,0.312
166,LAC,2020,0.18906875787869948,0.438
167,LAC,2021,,0.529
168,LV,2012,,0.25
169,LV,2013,-0.7252128661956824,0.25
170,LV,2014,,0.188
171,LV,2015,-0.2915820825973103,0.438
172,LV,2016,,0.75
173,LV,2017,0.48540118146863487,0.375
174,LV,2018,-0.060499281006364425,0.25
175,LV,2019,,0.438
176,LV,2020,-0.6197138487289789,0.5
177,LV,2021,-0.33503227072182523,0.588
178,MIA,2012,-0.14637626391983374,0.438
179,MIA,2013,,0.5
180,MIA,2014,,0.5
181,MIA,2017,1.0727241074621976,0.375
182,MIA,2018,-0.32492622285592127,0.438
183,MIA,2019,,0.312
184,MIA,2020,,0.625
185,MIA,2021,,0.529
186,MIN,2012,0.43946822473958436,0.625
187,MIN,2013,0.16610174380183906,0.312
188,MIN,2014,0.25779170932013346,0.438
189,MIN,2015,0.5430584665475061,0.688
190,MIN,2016,-0.2056655384552225,0.5
191,MIN,2017,,0.812
192,MIN,2018,0.7759259728841212,0.5
193,MIN,2019,,0.625
194,MIN,2020,-0.2773446844017494,0.438
195,MIN,2021,0.33145624908230625,0.471
196,NE,2012,,0.75
197,NE,2013,-0.1672721574310173,0.75
198,NE,2014,0.028828830446752995,0.75
199,NE,2015,-0.5229398749656022,0.75
200,NE,2016,,0.875
201,NE,2017,-0.6238536729950964,0.812
202,NE,2018,-1.1441224855690337,0.688
203,NE,2019,-0.5759537483787259,0.75
204,NE,2020,,0.438
205,NE,2021,,0.588
206,NO,2012,,0.438
207,NO,2013,-0.38823758566279964,0.688
208,NO,2014,0.6581247044062829,0.438
209,NO,2015,-0.06657578708090788,0.438
210,NO,2017,,0.688
211,NO,2018,,0.812
212,NO,2019,,0.812
213,NO,2020,0.5368386527018032,0.75
214,NO,2021,-0.24143122171362819,0.529
215,NYG,2012,-0.39752893541834267,0.562
216,NYG,2013,-0.1995949976321189,0.438
217,NYG,2014,-0.23214426565395246,0.375
218,NYG,2015,-0.1270078629747618,0.375
219,NYG,2016,0.1336459982926908,0.688
220,NYG,2017,-0.22809268141847183,0.188
221,NYG,2018,,0.312
222,NYG,2019,,0.25
223,NYG,2020,,0.375
224,NYG,2021,1.2499888760337403,0.235
225,NYJ,2012,,0.375
226,NYJ,2013,-0.0028640252972071956,0.5
227,NYJ,2014,-0.014162861872866722,0.25
228,NYJ,2015,0.32838747457429096,0.625
229,NYJ,2016,1.3178432190505474,0.312
230,NYJ,2017,,0.312
231,NYJ,2018,-0.18167386285189846,0.25
232,NYJ,2019,-1.2430047378979525,0.438
233,NYJ,2020,-0.6310163363406905,0.125
234,NYJ,2021,,0.235
235,PHI,2012,,0.25
236,PHI,2013,,0.625
237,PHI,2014,0.4673410939581454,0.625
238,PHI,2015,,0.438
239,PHI,2017,0.25410133400558077,0.812
240,PHI,2018,,0.562
241,PHI,2019,,0.562
242,PHI,2020,,0.25
243,PHI,2021,,0.529
244,PIT,2012,,0.5
245,PIT,2013,,0.5
246,PIT,2014,0.06767789982139381,0.688
247,PIT,2015,-0.5443298498319685,0.625
248,PIT,2016,-1.1500801679593997,0.688
249,PIT,2017,0.51485328901081,0.812
250,PIT,2018,,0.562
251,PIT,2021,,0.529
252,SEA,2012,-0.27400307448620703,0.688
253,SEA,2013,,0.812
254,SEA,2014,,0.75
255,SEA,2015,0.715182788863367,0.625
256,SEA,2016,,0.625
257,SEA,2017,0.9974892765082565,0.562
258,SEA,2018,-0.4271460135605445,0.625
259,SEA,2019,,0.688
260,SEA,2020,-0.3059924856925067,0.75
261,SEA,2021,0.2939848009574585,0.412
262,SF,2012,-0.0699357718129341,0.688
263,SF,2013,0.32059965904260346,0.75
264,SF,2014,,0.5
265,SF,2015,0.14336204888567725,0.312
266,SF,2016,-0.12859009946924796,0.125
267,SF,2017,,0.375
268,SF,2018,0.01160407939817222,0.25
269,SF,2020,,0.375
270,SF,2021,-0.1651835357532393,0.588
271,TB,2012,-0.35099879099877607,0.438
272,TB,2013,,0.25
273,TB,2014,0.00763898355804106,0.125
274,TB,2015,,0.375
275,TB,2016,,0.562
276,TB,2017,-0.017163148036531878,0.312
277,TB,2018,,0.312
278,TB,2019,,0.438
279,TB,2020,,0.688
280,TB,2021,,0.765
281,TEN,2012,0.4981873840733146,0.375
282,TEN,2013,0.11742154644316094,0.438
283,TEN,2014,0.15802830825927616,0.125
284,TEN,2015,0.11271043868924988,0.188
285,TEN,2016,-0.3335568305620301,0.562
286,TEN,2017,0.03205909405041582,0.562
287,TEN,2019,0.25078342259300757,0.562
288,TEN,2020,,0.688
289,TEN,2021,0.6051449950647673,0.706
290,WAS,2012,,0.625
291,WAS,2013,,0.188
292,WAS,2014,,0.25
293,WAS,2015,,0.562
294,WAS,2016,-0.217424923629335,0.5
295,WAS,2018,1.0264228925687435,0.438
296,WAS,2019,,0.188
297,WAS,2021,0.28874901337999376,0.412
298,ARZ,2018,,0.188
299,BLT,2020,,0.688
300,BUF,2013,,0.375
301,BUF,2016,,0.438
302,BUF,2018,,0.375
303,CLV,2017,,0.0
304,HST,2016,,0.562
305,JAX,2014,,0.188
306,NO,2016,,0.438
307,PHI,2016,,0.438
308,SF,2019,,0.812
309,TEN,2018,,0.562
310,WAS,2017,,0.438
311,WAS,2020,,0.438
312,CLV,2012,,0.312
313,DAL,2014,,0.75
314,JAX,2013,,0.25
315,LA,2013,,0.438
316,MIA,2015,,0.375
317,MIA,2016,,0.625
318,PIT,2020,,0.75
319,PIT,2019,,0.5
